Tamil Nadu,Dindigul,Guziliamparai,Palayam,Muthampattipalaya 10.7272000,,78.1392000,Dug Well,3.48
"",,,,m,,,,
Tamil Nadu,Dindigul,Kodaikanal,Kodaikanal,Kodaikanal 10.2347000,,77.4833000,Dug Well,6.73
Tamil Nadu,Dindigul,Kodaikanal,Kodaikanal,Perumal Malai 10.2681000,,77.5417000,Dug Well,1.01
Tamil Nadu,Dindigul,Kodaikanal,Pannaikadu,Uthu 10.2683000,,77.6178000,Dug Well,2.20
Tamil Nadu,Dindigul,Nattam,Natham,Natham1 10.2222000,,78.2472000,Dug Well,4.10
Tamil Nadu,Dindigul,Oddanchatram,Oddanchatram,Oodanchatram 10.4875000,,77.7542000,Dug Well,2.58
Tamil Nadu,Dindigul,Oddanchatram,Palakkanoothu,Palakanthu 10.4658000,,77.8056000,Dug Well,2.60
Tamil Nadu,Dindigul,Palani,Kanakkanpatty(Pachala,Kanakkanpatti 10.4750000,,77.5667000,Dug Well,1.83
"",,,nayackenpatti),,,,,
Tamil Nadu,Dindigul,Palani,Palani,Palani2 10.4333000,,77.5125000,Dug Well,2.87
Tamil Nadu,Dindigul,Palani,Virupatchi,Pudu Ettama Nayakar 10.4619000,,77.7061000,Dug Well,4.70
"",,,,Patti,,,,
Tamil Nadu,Dindigul,Reddiarchatram,Kamatchipuram,Reddiarchattram 10.4167000,,77.8611000,Dug Well,5.20
Tamil Nadu,Dindigul,Sanarpatti,Vengamanoothu,Vadamadurai 10.3583000,,78.1000000,Dug Well,6.88
Tamil Nadu,Dindigul,Thoppampatti,Chatrapatty,Chattrapatti 10.4667000,,77.6583000,Dug Well,3.66
Tamil Nadu,Dindigul,Thoppampatti,Thummalapatty,Thumbalapatti 10.5333000,,77.5208000,Dug Well,6.60
Tamil Nadu,Dindigul,Thoppampatti,Velampatty,Thoppampatti 10.5900000,,77.5269000,Dug Well,2.20
Tamil Nadu,Dindigul,Vadamadurai,Thamaraipadi,Thamaraipadi 10.4053000,,78.0453000,Dug Well,1.98
Tamil Nadu,Dindigul,Vedasandur,Nagayakottai,Vaivespuram 10.5458000,,78.0719000,Dug Well,4.50
Tamil Nadu,Dindigul,Vedasandur,Nathapatty,Vedasandur New 10.5475000,,77.9711000,Dug Well,4.42
Tamil Nadu,Dindigul,Vedasandur,Padiyur,Sundarapuri 10.4597000,,78.0272000,Dug Well,6.55
Tamil Nadu,Dindigul,Vedasandur,Palapatty,P.Alagapuri 10.5983000,,77.9756000,Dug Well,4.08
Tamil Nadu,Erode,Ammapet,Ammapettai,Ammapet1 11.6250000,,77.7167000,Bore Well,5.90
Tamil Nadu,Erode,Ammapet,Ammapettai,Ammapet2 11.6194000,,77.7444000,Dug Well,3.65
Tamil Nadu,Erode,Ammapet,Chennampatti,Chennampatti Pz 11.7011000,,77.6719000,Bore Well,5.78
Tamil Nadu,Erode,Ammapet,Ilipulli,Gandhinagar 11.6589000,,77.6847000,Dug Well,6.30
"",,,,Thaneerpanthalpalay,,,,
"",,,,am,,,,
Tamil Nadu,Erode,Ammapet,Ilipulli,Guruvareddiyur 11.6417000,,77.6833000,Bore Well,5.77
Tamil Nadu,Erode,Ammapet,Ilipulli,Guvuar Dw 11.6414000,,77.6822000,Dug Well,4.10
Tamil Nadu,Erode,Ammapet,Kesarimangalam,Krishnapuram 11.5367000,,77.7097000,Dug Well,4.00
STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WATER
"",,NAME,,,,,,LEVEL
"",,,,,,,,(mbgl)
Tamil Nadu,Erode,Ammapet,Kurichi(Kurichi -B),Kurichi,11.5733000,77.6939000,Dug Well,3.07
Tamil Nadu,Erode,Ammapet,Kurichi(Kurichi -B),Kurichi Pz,11.5731000,77.6950000,Bore Well,2.45
Tamil Nadu,Erode,Ammapet,Mathur,Alampalayam Pz,11.6272000,77.6061000,Bore Well,3.46
Tamil Nadu,Erode,Ammapet,Mugasipudur,Punnachipudur Dw,11.5919000,77.6661000,Dug Well,6.48
Tamil Nadu,Erode,Ammapet,Vellitiruppur,Vellitirupur,11.6208000,77.6333000,Dug Well,1.76
Tamil Nadu,Erode,Anthiiyur,Athani,Attani,11.5242000,77.5167000,Dug Well,11.10
Tamil Nadu,Erode,Anthiiyur,Bargur,Bhavani1,11.8083000,77.5333000,Dug Well,7.90
Tamil Nadu,Erode,Anthiiyur,Brammadesam,Kattupalayam Pz,11.5453000,77.5953000,Bore Well,3.05
Tamil Nadu,Erode,Anthiiyur,Kettisamudram,Pudupalayam1,11.5944000,77.5875000,Dug Well,2.75
Tamil Nadu,Erode,Bhavani,Bhavani,Urachikottai,11.4847000,77.6917000,Bore Well,2.15
Tamil Nadu,Erode,Bhavani,Kavindapadi(Kavindapa,Kavundapadi1,11.4222000,77.5583000,Dug Well,3.70
"",,,di -B),,,,,
Tamil Nadu,Erode,Bhavani,Kavindapadi(Kavindapa,Kavundappadi,11.4333000,77.5583000,Bore Well,4.51
"",,,di -B),,,,,
Tamil Nadu,Erode,Bhavani,Oricheri,Ooricheri,11.4650000,77.6058000,Dug Well,4.78
Tamil Nadu,Erode,Bhavani,Punnam,Punnam Pz,11.5072000,77.6139000,Bore Well,2.54
Tamil Nadu,Erode,Bhavani,Punnam,Settunampalayam Pz,11.5200000,77.6033000,Bore Well,8.70
Tamil Nadu,Erode,Bhavani,Varadhanallur,Varadanallur,11.4933000,77.6986000,Dug Well,2.15
