W080620077324501,5057,TAMIL NADU,Kanyakumari,AGASTHEESWARAM,Kundal(west),8.1031,77.5439,2021,7.60,1386,0.00,250,227,141,24,,260,44,36,168,2,1.53,,,0.00
W081900077123002,5058,TAMIL NADU,Kanyakumari,KILLIYOOR,Marthandam,8.3097,77.2142,2021,7.50,506,0.00,61,92,109,31,,140,16,24,26,120,0.22,,,0.00
W123400077540001,5059,TAMIL NADU,Krishnagiri,KELAMANGALAM,Anusonai,12.5717,77.8975,2021,7.26,292,0.00,118,21,18,0,,100,25,9,14,3,0.33,,,0.57
W123245078213001,5060,TAMIL NADU,Krishnagiri,BARGUR,Bargur,12.5450,78.3483,2021,7.61,2570,0.00,586,370,360,34,,660,120,88,278,17,1.80,,,46.06
W123600078112301,5061,TAMIL NADU,Krishnagiri,VEPPANAPALLI,Billanakuppam,12.6027,78.1853,2021,8.26,831,0.00,427,53,69,2,,235,30,39,99,15,1.66,,,54.20
W150025075083101,5062,TAMIL NADU,Krishnagiri,HOSUR,Hosur,12.7278,77.8278,2021,8.07,1114,0.00,378,149,72,38,,365,54,56,96,11,0.89,,,19.76
W122445078134501,5063,TAMIL NADU,Krishnagiri,KAVERIPATTANAM,Kaveripatnam,12.4197,78.2186,2021,7.86,1979,0.00,464,292,160,127,,400,104,34,210,124,0.16,,,3.24
W121958078210101,5064,TAMIL NADU,Krishnagiri,BARGUR,Konnanur,12.3328,78.3503,2021,7.57,735,0.00,329,71,37,5,,220,52,22,92,1,0.39,,,0.54
W113946076112601,5065,TAMIL NADU,Krishnagiri,KRISHNAGIRI,Krishnagiri,12.4721,78.2154,2021,7.93,1647,0.00,415,277,100,69,,410,80,51,213,13,0.80,,,17.01
W104457076323601,5066,TAMIL NADU,Krishnagiri,MATHUR,Mathur,12.3825,78.4133,2021,7.78,2940,0.00,610,441,140,251,,740,132,100,275,10,0.86,,,6.99
W123730078151501,5067,TAMIL NADU,Krishnagiri,KRISHNAGIRI,Megalachinnapalli,12.6047,78.2494,2021,7.22,1459,0.00,375,235,156,0,,390,58,60,153,4,1.06,,,72.77
